What is the average central corneal thickness? ||| About 540 micrometers
What covers the posterior five sixths of the eyeball? ||| The sclera
Quick question: what covers the posterior five sixths of the eyeball? ||| The sclera
Exam prep: what covers the posterior five sixths of the eyeball? ||| The sclera
What covers the posterior five sixths of the eyeball? (A) cyclopentolate (B) vertical imbalance (C) The sclera (D) Misdirected ||| C
What covers the posterior five sixths of the eyeball? (A) behind (B) The sclera (C) Vertical prism (D) extra plus ||| B
True or false: The sclera covers the posterior five sixths of the eyeball. ||| true
True or false: The vertical imbalance covers the posterior five sixths of the eyeball. ||| false
Fill in the blank: The ____ covers the posterior five sixths of the eyeball. ||| sclera
What is the limbus? ||| The junction between the cornea and the sclera
Quick question: what is the limbus? ||| The junction between the cornea and the sclera
Exam prep: what is the limbus? ||| The junction between the cornea and the sclera
What is the limbus? (A) The junction between the cornea and the sclera (B) rotate up (C) media opacity (D) deposits ||| A
What is the limbus? (A) Water (B) Red (C) anti-VEGF (D) The junction between the cornea and the sclera ||| D
True or false: The limbus is the junction between the cornea and the sclera. ||| true
True or false: The limbus is the probe between the cornea and the sclera. ||| false
Fill in the blank: The limbus is the ____ between the cornea and the sclera. ||| junction
Which angle structures are found at the limbus? ||| The trabecular meshwork and the canal of Schlemm
Quick question: which angle structures are found at the limbus? ||| The trabecular meshwork and the canal of Schlemm
Exam prep: which angle structures are found at the limbus? ||| The trabecular meshwork and the canal of Schlemm
Which angle structures are found at the limbus? (A) The trabecular meshwork and the canal of Schlemm (B) AREDS2 (C) dyslipidemia (D) 6 million ||| A
Which angle structures are found at the limbus? (A) reflex (B) The trabecular meshwork and the canal of Schlemm (C) accommodative (D) increases ||| B
True or false: The trabecular meshwork and the canal of Schlemm sit at the limbus. ||| true
True or false: The Children and the canal of Schlemm sit at the limbus. ||| false
Fill in the blank: The ____ and the canal of Schlemm sit at the limbus. ||| trabecular meshwork
What drains aqueous humor from the anterior chamber? ||| The trabecular meshwork into the canal of Schlemm
Quick question: what drains aqueous humor from the anterior chamber? ||| The trabecular meshwork into the canal of Schlemm
Exam prep: what drains aqueous humor from the anterior chamber? ||| The trabecular meshwork into the canal of Schlemm
What drains aqueous humor from the anterior chamber? (A) The trabecular meshwork into the canal of Schlemm (B) Effective power (C) 23.5 (D) zonules ||| A
What drains aqueous humor from the anterior chamber? (A) The trabecular meshwork into the canal of Schlemm (B) probe (C) medial rectus (D) calcarine ||| A
True or false: Aqueous humor drains through the trabecular meshwork into the canal of Schlemm. ||| true
True or false: Aqueous humor drains through the trabecular meshwork into the toxoplasmosis. ||| false
Fill in the blank: Aqueous humor drains through the trabecular meshwork into the ____. ||| canal of Schlemm
Which structure produces aqueous humor? ||| The ciliary body epithelium
Quick question: which structure produces aqueous humor? ||| The ciliary body epithelium
Exam prep: which structure produces aqueous humor? ||| The ciliary body epithelium
Which structure produces aqueous humor? (A) 1.74 (B) The ciliary body epithelium (C) rod-cone (D) forties ||| B
Which structure produces aqueous humor? (A) cherry red (B) 20/200 (C) The ciliary body epithelium (D) equally blurred ||| C
True or false: The ciliary body epithelium produces aqueous humor. ||| true
True or false: The Descemet's membrane epithelium produces aqueous humor. ||| false
Fill in the blank: The ____ epithelium produces aqueous humor. ||| ciliary body
What is the volume of the anterior chamber? ||| About 250 microliters
Quick question: what is the volume of the anterior chamber? ||| About 250 microliters
Exam prep: what is the volume of the anterior chamber? ||| About 250 microliters
What is the volume of the anterior chamber? (A) Phenylephrine (B) About 250 microliters (C) Rods (D) hyperopia ||| B
What is the volume of the anterior chamber? (A) red (B) Ciliary flush (C) About 250 microliters (D) vertex ||| C
True or false: The anterior chamber holds about 250 microliters of aqueous humor. ||| true
True or false: The anterior chamber holds about dilator microliters of aqueous humor. ||| false
Fill in the blank: The anterior chamber holds about ____ microliters of aqueous humor. ||| 250
Where is the posterior chamber? ||| Between the posterior iris surface and the lens zonules
Quick question: where is the posterior chamber? ||| Between the posterior iris surface and the lens zonules
Exam prep: where is the posterior chamber? ||| Between the posterior iris surface and the lens zonules
Where is the posterior chamber? (A) Thin (B) lipid (C) Between the posterior iris surface and the lens zonules (D) Intorsion ||| C
Where is the posterior chamber? (A) Between the posterior iris surface and the lens zonules (B) sicca (C) Glaucoma (D) With motion ||| A
True or false: The posterior chamber lies between the posterior iris surface and the lens zonules. ||| true
True or false: The posterior chamber lies between the posterior iris surface and the lens copper. ||| false
Fill in the blank: The posterior chamber lies between the posterior iris surface and the lens ____. ||| zonules
What is the volume of the vitreous chamber? ||| About 4 milliliters
Quick question: what is the volume of the vitreous chamber? ||| About 4 milliliters
Exam prep: what is the volume of the vitreous chamber? ||| About 4 milliliters
What is the volume of the vitreous chamber? (A) rigidity (B) About 4 milliliters (C) retroillumination (D) iridotomy ||| B
What is the volume of the vitreous chamber? (A) opacity (B) 4 to 6 (C) 0.0 (D) About 4 milliliters ||| D
True or false: The vitreous chamber holds about 4 milliliters of vitreous. ||| true
True or false: The vitreous chamber holds about eyelid margins milliliters of vitreous. ||| false
Fill in the blank: The vitreous chamber holds about ____ milliliters of vitreous. ||| 4
What is the macula? ||| The 5.5 millimeter area at the posterior pole responsible for central vision
Quick question: what is the macula? ||| The 5.5 millimeter area at the posterior pole responsible for central vision
Exam prep: what is the macula? ||| The 5.5 millimeter area at the posterior pole responsible for central vision
What is the macula? (A) family history (B) The 5.5 millimeter area at the posterior pole responsible for central vision (C) angle (D) under-minused ||| B
What is the macula? (A) ectasia (B) The 5.5 millimeter area at the posterior pole responsible for central vision (C) in front of the retina (D) Glaucoma ||| B
True or false: The macula is a 5.5 millimeter area at the posterior pole for central vision. ||| true
True or false: The macula is a intracranial millimeter area at the posterior pole for central vision. ||| false
Fill in the blank: The macula is a ____ millimeter area at the posterior pole for central vision. ||| 5.5
What is the fovea? ||| The central pit of the macula with the highest cone density and sharpest acuity
Quick question: what is the fovea? ||| The central pit of the macula with the highest cone density and sharpest acuity
Exam prep: what is the fovea? ||| The central pit of the macula with the highest cone density and sharpest acuity
What is the fovea? (A) -2.25 (B) phenylephrine (C) choroid (D) The central pit of the macula with the highest cone density and sharpest acuity ||| D
What is the fovea? (A) Hydroxychloroquine (B) CCTV (C) Reduced movement (D) The central pit of the macula with the highest cone density and sharpest acuity ||| D
True or false: The fovea is the central pit of the macula with the highest cone density. ||| true
True or false: The fovea is the central pit of the macula with the highest Bull's eye. ||| false
Fill in the blank: The fovea is the central pit of the macula with the highest ____. ||| cone density
Which retinal area is completely free of blood vessels? ||| The foveal avascular zone
Quick question: which retinal area is completely free of blood vessels? ||| The foveal avascular zone
Exam prep: which retinal area is completely free of blood vessels? ||| The foveal avascular zone
Which retinal area is completely free of blood vessels? (A) half (B) The foveal avascular zone (C) 20/200 (D) cross ||| B
Which retinal area is completely free of blood vessels? (A) The foveal avascular zone (B) Rheumatoid (C) 2 to 6 (D) myopic ||| A
True or false: The foveal avascular zone at the fovea center is free of blood vessels. ||| true
True or false: The foveal red zone at the fovea center is free of blood vessels. ||| false
Fill in the blank: The foveal ____ zone at the fovea center is free of blood vessels. ||| avascular
How many rods are in a human retina? ||| About 120 million
Quick question: how many rods are in a human retina? ||| About 120 million
Exam prep: how many rods are in a human retina? ||| About 120 million
How many rods are in a human retina? (A) 120 million (B) Contrast (C) reduced positive fusional vergence (D) About 120 million ||| D
How many rods are in a human retina? (A) Dissociated vertical (B) Muller (C) About 120 million (D) 0.5 to 1 ||| C
True or false: The human retina contains about 120 million rods. ||| true
True or false: The human retina contains about instability rods. ||| false
Fill in the blank: The human retina contains about ____ rods. ||| 120 million
How many cones are in a human retina? ||| About 6 million
Quick question: how many cones are in a human retina? ||| About 6 million
Exam prep: how many cones are in a human retina? ||| About 6 million
How many cones are in a human retina? (A) over-plussing (B) Peripheral myopic defocus (C) curtain (D) About 6 million ||| D
How many cones are in a human retina? (A) About 6 million (B) 18.5 (C) Posterior subcapsular (D) 12 to 14 ||| A
True or false: The human retina contains about 6 million cones. ||| true
True or false: The human retina contains about preauricular cones. ||| false
Fill in the blank: The human retina contains about ____ cones. ||| 6 million
Which photoreceptors mediate night vision? ||| Rods
Quick question: which photoreceptors mediate night vision? ||| Rods
Exam prep: which photoreceptors mediate night vision? ||| Rods
Which photoreceptors mediate night vision? (A) Axis (B) vergence (C) Rods (D) Beta blockers ||| C
Which photoreceptors mediate night vision? (A) Rods (B) nasolacrimal duct (C) Papillae (D) Against ||| A
True or false: Rods mediate scotopic, or night, vision. ||| true
True or false: diameter mediate scotopic, or night, vision. ||| false
Fill in the blank: ____ mediate scotopic, or night, vision. ||| Rods
Which photoreceptors mediate color vision? ||| Cones
Quick question: which photoreceptors mediate color vision? ||| Cones
Exam prep: which photoreceptors mediate color vision? ||| Cones
Which photoreceptors mediate color vision? (A) Entropion (B) Cones (C) 23.5 (D) Cerulean ||| B
Which photoreceptors mediate color vision? (A) ESR (B) Misdirected (C) 4 to 6 (D) Cones ||| D
True or false: Cones mediate photopic and color vision. ||| true
True or false: Monocular mediate photopic and color vision. ||| false
Fill in the blank: ____ mediate photopic and color vision. ||| Cones
Where is cone density highest? ||| At the fovea
Quick question: where is cone density highest? ||| At the fovea
Exam prep: where is cone density highest? ||| At the fovea
Where is cone density highest? (A) eyelid margins (B) At the fovea (C) transmissibility (D) trochlear ||| B
Where is cone density highest? (A) 0.5 to 1 (B) Bull's eye (C) At the fovea (D) avascular ||| C
True or false: Cone density peaks at the fovea. ||| true
True or false: Cone density peaks at the Ganciclovir. ||| false
Fill in the blank: Cone density peaks at the ____. ||| fovea
What is the normal cup to disc ratio? ||| About 0.3
Quick question: what is the normal cup to disc ratio? ||| About 0.3
Exam prep: what is the normal cup to disc ratio? ||| About 0.3
What is the normal cup to disc ratio? (A) Tilt (B) meibomian (C) About 0.3 (D) Abduction ||| C
What is the normal cup to disc ratio? (A) Spectacle power (B) HOTV (C) 120 million (D) About 0.3 ||| D
True or false: The normal cup to disc ratio is about 0.3. ||| true
True or false: The normal cup to disc ratio is about Ectropion. ||| false
Fill in the blank: The normal cup to disc ratio is about ____. ||| 0.3
Which cranial nerve is the optic nerve? ||| Cranial nerve II
Quick question: which cranial nerve is the optic nerve? ||| Cranial nerve II
Exam prep: which cranial nerve is the optic nerve? ||| Cranial nerve II
Which cranial nerve is the optic nerve? (A) Diplopia (B) Cranial nerve II (C) Sherrington (D) simultaneous ||| B
Which cranial nerve is the optic nerve? (A) iris darkening (B) cyclopentolate (C) Cranial nerve II (D) Microaneurysms ||| C
True or false: The optic nerve is cranial nerve II. ||| true
True or false: The optic nerve is cranial nerve Rhodopsin. ||| false
Fill in the blank: The optic nerve is cranial nerve ____. ||| II
How many axons does the human optic nerve carry? ||| About 1.2 million
Quick question: how many axons does the human optic nerve carry? ||| About 1.2 million
Exam prep: how many axons does the human optic nerve carry? ||| About 1.2 million
How many axons does the human optic nerve carry? (A) half (B) Pilocarpine (C) About 1.2 million (D) 3.06 ||| C
How many axons does the human optic nerve carry? (A) under-minused (B) mire (C) About 1.2 million (D) Grade 2 ||| C
True or false: The optic nerve carries about 1.2 million retinal ganglion cell axons. ||| true
True or false: The optic nerve carries about Cones retinal ganglion cell axons. ||| false
Fill in the blank: The optic nerve carries about ____ retinal ganglion cell axons. ||| 1.2 million
Which layer supplies the outer retina? ||| The choriocapillaris of the choroid
Quick question: which layer supplies the outer retina? ||| The choriocapillaris of the choroid
Exam prep: which layer supplies the outer retina? ||| The choriocapillaris of the choroid
Which layer supplies the outer retina? (A) parasympathetic (B) Posterior subcapsular (C) Viral (D) The choriocapillaris of the choroid ||| D
Which layer supplies the outer retina? (A) The choriocapillaris of the choroid (B) ophthalmic artery (C) Cones (D) development ||| A
True or false: The choroid supplies the outer retina. ||| true
True or false: The plus 6 supplies the outer retina. ||| false
Fill in the blank: The ____ supplies the outer retina. ||| choroid
From which artery does the central retinal artery arise? ||| The ophthalmic artery
Quick question: from which artery does the central retinal artery arise? ||| The ophthalmic artery
Exam prep: from which artery does the central retinal artery arise? ||| The ophthalmic artery
From which artery does the central retinal artery arise? (A) iris (B) The ophthalmic artery (C) extraction (D) Elevation ||| B
From which artery does the central retinal artery arise? (A) Children (B) The ophthalmic artery (C) jaw claudication (D) Cortical ||| B
True or false: The central retinal artery arises from the ophthalmic artery. ||| true
True or false: The central retinal artery arises from the anti-VEGF. ||| false
Fill in the blank: The central retinal artery arises from the ____. ||| ophthalmic artery
How many extraocular muscles move each eye? ||| Six
Quick question: how many extraocular muscles move each eye? ||| Six
Exam prep: how many extraocular muscles move each eye? ||| Six
How many extraocular muscles move each eye? (A) Lattice (B) year (C) Hypoxia (D) Six ||| D
How many extraocular muscles move each eye? (A) Six (B) Intorsion (C) Dorzolamide (D) FL-41 ||| A
True or false: Six extraocular muscles move each eye. ||| true
True or false: Tamsulosin extraocular muscles move each eye. ||| false
Fill in the blank: ____ extraocular muscles move each eye. ||| Six
Which cranial nerve innervates the lateral rectus? ||| The abducens nerve (CN VI)
Quick question: which cranial nerve innervates the lateral rectus? ||| The abducens nerve (CN VI)
Exam prep: which cranial nerve innervates the lateral rectus? ||| The abducens nerve (CN VI)
Which cranial nerve innervates the lateral rectus? (A) objective (B) doubled (C) trochlear (D) The abducens nerve (CN VI) ||| D
Which cranial nerve innervates the lateral rectus? (A) junction (B) The abducens nerve (CN VI) (C) opacities (D) Vitamin A ||| B
True or false: The abducens nerve, CN VI, innervates the lateral rectus. ||| true
True or false: The Ciliary flush nerve, CN VI, innervates the lateral rectus. ||| false
Fill in the blank: The ____ nerve, CN VI, innervates the lateral rectus. ||| abducens
Which cranial nerve innervates the superior oblique? ||| The trochlear nerve (CN IV)
Quick question: which cranial nerve innervates the superior oblique? ||| The trochlear nerve (CN IV)
Exam prep: which cranial nerve innervates the superior oblique? ||| The trochlear nerve (CN IV)
Which cranial nerve innervates the superior oblique? (A) orbicularis oculi (B) Prostaglandin (C) The trochlear nerve (CN IV) (D) peripheral myopic defocus ||| C
Which cranial nerve innervates the superior oblique? (A) The trochlear nerve (CN IV) (B) extraction (C) grows (D) nasolacrimal duct ||| A
True or false: The trochlear nerve, CN IV, innervates the superior oblique. ||| true
True or false: The rotate up nerve, CN IV, innervates the superior oblique. ||| false
Fill in the blank: The ____ nerve, CN IV, innervates the superior oblique. ||| trochlear
What is the primary action of the lateral rectus? ||| Abduction
Quick question: what is the primary action of the lateral rectus? ||| Abduction
Exam prep: what is the primary action of the lateral rectus? ||| Abduction
What is the primary action of the lateral rectus? (A) Drift (B) Abduction (C) Intorsion (D) atopy ||| B
What is the primary action of the lateral rectus? (A) 1.50 (B) Descemet's membrane (C) keratoconus (D) Abduction ||| D
True or false: The primary action of the lateral rectus is abduction. ||| true
True or false: The primary action of the lateral rectus is One day. ||| false
Fill in the blank: The primary action of the lateral rectus is ____. ||| Abduction
What is the primary action of the medial rectus? ||| Adduction
Quick question: what is the primary action of the medial rectus? ||| Adduction
Exam prep: what is the primary action of the medial rectus? ||| Adduction
What is the primary action of the medial rectus? (A) before 8 (B) Adduction (C) Base down (D) field of view ||| B
What is the primary action of the medial rectus? (A) Adduction (B) Vitamin A (C) Amsler (D) diameter ||| A
True or false: The primary action of the medial rectus is adduction. ||| true
True or false: The primary action of the medial rectus is Teller. ||| false
Fill in the blank: The primary action of the medial rectus is ____. ||| Adduction
What is the primary action of the superior rectus? ||| Elevation
Quick question: what is the primary action of the superior rectus? ||| Elevation
Exam prep: what is the primary action of the superior rectus? ||| Elevation
What is the primary action of the superior rectus? (A) facial (B) Elevation (C) Cones (D) 0.0 ||| B
What is the primary action of the superior rectus? (A) Elevation (B) ESR (C) lid hygiene (D) Blood ||| A
True or false: The primary action of the superior rectus is elevation. ||| true
True or false: The primary action of the superior rectus is One day. ||| false
Fill in the blank: The primary action of the superior rectus is ____. ||| Elevation
What is the primary action of the inferior rectus? ||| Depression
Quick question: what is the primary action of the inferior rectus? ||| Depression
Exam prep: what is the primary action of the inferior rectus? ||| Depression
What is the primary action of the inferior rectus? (A) bone spicule (B) Depression (C) 3,500 (D) superimpose ||| B
What is the primary action of the inferior rectus? (A) 20/200 (B) Depression (C) 12 to 14 (D) tropia ||| B
True or false: The primary action of the inferior rectus is depression. ||| true
True or false: The primary action of the inferior rectus is lipofuscin. ||| false
Fill in the blank: The primary action of the inferior rectus is ____. ||| Depression
What is the primary action of the superior oblique? ||| Intorsion, strongest when the eye is adducted
Quick question: what is the primary action of the superior oblique? ||| Intorsion, strongest when the eye is adducted
Exam prep: what is the primary action of the superior oblique? ||| Intorsion, strongest when the eye is adducted
What is the primary action of the superior oblique? (A) Intorsion, strongest when the eye is adducted (B) Ectropion (C) 250 (D) medial rectus ||| A
What is the primary action of the superior oblique? (A) iris darkening (B) 0.57 (C) orbicularis oculi (D) Intorsion, strongest when the eye is adducted ||| D
True or false: The primary action of the superior oblique is intorsion. ||| true
True or false: The primary action of the superior oblique is Ganciclovir. ||| false
Fill in the blank: The primary action of the superior oblique is ____. ||| Intorsion
What is the primary action of the inferior oblique? ||| Extorsion, strongest when the eye is adducted
Quick question: what is the primary action of the inferior oblique? ||| Extorsion, strongest when the eye is adducted
Exam prep: what is the primary action of the inferior oblique? ||| Extorsion, strongest when the eye is adducted
What is the primary action of the inferior oblique? (A) Extorsion, strongest when the eye is adducted (B) granuloma (C) 4 to 6 (D) 30 to 60 ||| A
What is the primary action of the inferior oblique? (A) wing (B) dendritic (C) reflex (D) Extorsion, strongest when the eye is adducted ||| D
True or false: The primary action of the inferior oblique is extorsion. ||| true
True or false: The primary action of the inferior oblique is AREDS2. ||| false
Fill in the blank: The primary action of the inferior oblique is ____. ||| Extorsion
Which muscle raises the upper eyelid? ||| The levator palpebrae superioris
Quick question: which muscle raises the upper eyelid? ||| The levator palpebrae superioris
Exam prep: which muscle raises the upper eyelid? ||| The levator palpebrae superioris
Which muscle raises the upper eyelid? (A) olopatadine (B) dyslipidemia (C) The levator palpebrae superioris (D) Peripheral myopic defocus ||| C
Which muscle raises the upper eyelid? (A) worsen (B) rim thinning (C) Papillae (D) The levator palpebrae superioris ||| D
True or false: The levator palpebrae superioris raises the upper eyelid. ||| true
True or false: The avascular palpebrae superioris raises the upper eyelid. ||| false
Fill in the blank: The ____ palpebrae superioris raises the upper eyelid. ||| levator
Which smooth muscle assists upper lid elevation? ||| The superior tarsal muscle, or Muller's muscle
Quick question: which smooth muscle assists upper lid elevation? ||| The superior tarsal muscle, or Muller's muscle
Exam prep: which smooth muscle assists upper lid elevation? ||| The superior tarsal muscle, or Muller's muscle
Which smooth muscle assists upper lid elevation? (A) trochlear (B) -2.25 (C) The superior tarsal muscle, or Muller's muscle (D) retroillumination ||| C
Which smooth muscle assists upper lid elevation? (A) scintillating (B) The superior tarsal muscle, or Muller's muscle (C) behind (D) before 8 ||| B
True or false: Muller's muscle, the superior tarsal muscle, assists upper lid elevation. ||| true
True or false: strongest plus's muscle, the superior tarsal muscle, assists upper lid elevation. ||| false
Fill in the blank: ____'s muscle, the superior tarsal muscle, assists upper lid elevation. ||| Muller
Which nerve innervates the orbicularis oculi? ||| The facial nerve (CN VII)
Quick question: which nerve innervates the orbicularis oculi? ||| The facial nerve (CN VII)
Exam prep: which nerve innervates the orbicularis oculi? ||| The facial nerve (CN VII)
Which nerve innervates the orbicularis oculi? (A) flare (B) back central (C) Reducing minus (D) The facial nerve (CN VII) ||| D
Which nerve innervates the orbicularis oculi? (A) The facial nerve (CN VII) (B) Teller (C) opacities (D) canal of Schlemm ||| A
True or false: The facial nerve, CN VII, innervates the orbicularis oculi. ||| true
True or false: The doubled nerve, CN VII, innervates the orbicularis oculi. ||| false
Fill in the blank: The ____ nerve, CN VII, innervates the orbicularis oculi. ||| facial
What are the three layers of the tear film? ||| Lipid, aqueous, and mucin
Quick question: what are the three layers of the tear film? ||| Lipid, aqueous, and mucin
Exam prep: what are the three layers of the tear film? ||| Lipid, aqueous, and mucin
What are the three layers of the tear film? (A) opacities (B) 5.5 (C) Beta blockers (D) Lipid, aqueous, and mucin ||| D
What are the three layers of the tear film? (A) lateral geniculate (B) Galactosemia (C) no photoreceptors (D) Lipid, aqueous, and mucin ||| D
True or false: The tear film has three layers: lipid, aqueous, and mucin. ||| true
True or false: The tear film has three layers: apex, aqueous, and mucin. ||| false
Fill in the blank: The tear film has three layers: ____, aqueous, and mucin. ||| Lipid
Which glands secrete the lipid layer of tears? ||| The meibomian glands
Quick question: which glands secrete the lipid layer of tears? ||| The meibomian glands
Exam prep: which glands secrete the lipid layer of tears? ||| The meibomian glands
Which glands secrete the lipid layer of tears? (A) calcarine (B) Fleischer (C) cover test (D) The meibomian glands ||| D
Which glands secrete the lipid layer of tears? (A) Adie (B) 2.50 (C) choroid (D) The meibomian glands ||| D
True or false: The meibomian glands secrete the lipid layer of the tear film. ||| true
True or false: The 540 glands secrete the lipid layer of the tear film. ||| false
Fill in the blank: The ____ glands secrete the lipid layer of the tear film. ||| meibomian
Which cells secrete the mucin layer of tears? ||| Conjunctival goblet cells
Quick question: which cells secrete the mucin layer of tears? ||| Conjunctival goblet cells
Exam prep: which cells secrete the mucin layer of tears? ||| Conjunctival goblet cells
Which cells secrete the mucin layer of tears? (A) fenofibrate (B) Conjunctival goblet cells (C) Base down (D) strongest plus ||| B
Which cells secrete the mucin layer of tears? (A) Conjunctival goblet cells (B) Ten (C) cyclopentolate (D) eyelid margins ||| A
True or false: Conjunctival goblet cells secrete the mucin layer of the tear film. ||| true
True or false: Conjunctival superior oblique tendon cells secrete the mucin layer of the tear film. ||| false
Fill in the blank: Conjunctival ____ cells secrete the mucin layer of the tear film. ||| goblet
Where is the main lacrimal gland located? ||| In the superotemporal orbit
Quick question: where is the main lacrimal gland located? ||| In the superotemporal orbit
Exam prep: where is the main lacrimal gland located? ||| In the superotemporal orbit
Where is the main lacrimal gland located? (A) In the superotemporal orbit (B) Neovascularization (C) Biconvex (D) CN III ||| A
Where is the main lacrimal gland located? (A) In the superotemporal orbit (B) Latanoprost (C) Peripheral myopic defocus (D) Blood ||| A
True or false: The main lacrimal gland sits in the superotemporal orbit. ||| true
True or false: The main lacrimal gland sits in the dyslipidemia orbit. ||| false
Fill in the blank: The main lacrimal gland sits in the ____ orbit. ||| superotemporal
Through which structure do tears drain into the nose? ||| The nasolacrimal duct into the inferior meatus
