# Advanced vocabulary bank for the grammar/language pack.
# Format: word|pos|gloss|synonym
rescind|verb|to revoke or cancel formally|revoke
resolute|adjective|firm and unwavering in purpose|steadfast
reticent|adjective|reluctant to reveal thoughts|reserved
ribald|adjective|vulgar and humorous in speech|bawdy
salient|adjective|most noticeable or important|prominent
sanction|noun|official permission or penalty|approval
sardonic|adjective|grimly mocking|derisive
saturate|verb|to soak completely|drench
schism|noun|a split within an organization|rift
scrupulous|adjective|very careful about doing right|conscientious
serendipity|noun|a fortunate accidental discovery|luck
skeptic|noun|a person who doubts accepted beliefs|doubter
solace|noun|comfort in distress|consolation
spurious|adjective|not genuine or valid|bogus
static|adjective|lacking movement or change|motionless
stellar|adjective|outstandingly excellent|exceptional
stringent|adjective|strict and demanding|rigorous
substantiate|verb|to support a claim with evidence|confirm
subtle|adjective|delicately complex and understated|nuanced
superfluous|adjective|more than is needed|surplus
taciturn|adjective|quiet and disinclined to talk|reserved
tenacious|adjective|holding firmly to a course|persistent
tentative|adjective|not certain or fixed|provisional
tenuous|adjective|very weak or slight|flimsy
tireless|adjective|working with unflagging energy|indefatigable
torpid|adjective|mentally or physically sluggish|lethargic
transient|adjective|lasting only a short time|temporary
trepidation|noun|a feeling of fear about something to come|apprehension
turbid|adjective|cloudy and murky|muddy
ubiquitous|adjective|present everywhere|omnipresent
umbrage|noun|offense or annoyance|resentment
unctuous|adjective|excessively flattering|smarmy
uniform|adjective|remaining the same in all cases|consistent
untenable|adjective|indefensible or unsustainable|unsound
urbane|adjective|suave and refined in manner|cosmopolitan
utilitarian|adjective|designed to be useful rather than beautiful|functional
venerate|verb|to respect deeply|revere
veracity|noun|conformity to facts|truthfulness
verbose|adjective|using more words than needed|wordy
vexation|noun|the state of being annoyed|irritation
viable|adjective|capable of working successfully|feasible
vindicate|verb|to clear of criticism or blame|justify
visceral|adjective|relating to deep instinctive feeling|instinctive
voracious|adjective|having a huge appetite for something|ravenous
wane|verb|to decrease gradually in size or intensity|diminish
wary|adjective|cautious about danger|vigilant
whimsical|adjective|playfully quaint or fanciful|capricious
zealous|adjective|showing great energy for a cause|passionate
